"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000222022",26.6315100264436,5.14954099171465,2.07770525160306,2.47847522536775,NA,NA
"ENSG00000224063",33.6101027152326,2.47901077921129,1.47292257702898,1.68305572734969,0.0923643039209914,0.157306490856988
"ENSG00000145040",58.6252402954342,2.59028477228162,1.4641150100643,1.76918121491552,NA,NA
"ENSG00000229056",36.0073801970396,4.24193916359689,1.63465006218074,2.59501361284497,NA,NA
"ENSG00000214285",31.1918864705965,4.39994781695113,1.48569391464766,2.96154394493472,0.00306100808270698,0.0171300403772772
"ENSG00000248475",14.1485959756703,3.50084583263901,1.69940917097085,2.06003703665964,NA,NA
"ENSG00000179300",32.2768892918096,4.85615351331905,2.08039099625505,2.33425039911281,NA,NA
"ENSG00000223812",47.5108961562746,2.18784853783197,1.25622351740721,1.74160768964713,0.0815771148904088,0.148225084572115
"ENSG00000117322",18.5041189342195,2.63752198752112,1.5815550491311,1.66767637267521,NA,NA
"ENSG00000164458",26.0813542864068,5.31519654563711,1.93085330381974,2.75277077503623,0.0059093256014649,0.0248907957152612
"ENSG00000172116",48.8036905134271,2.25966212293003,1.01395373599169,2.22856531094092,0.0258428412794118,0.0641456238899686
"ENSG00000283787",77.132409642443,2.23304324124895,1.37309105042154,1.62628926942857,0.103888133411981,0.166914368674074
"ENSG00000039537",35.8194052183012,4.17457319624173,1.34828797143156,3.09620295122067,0.00196016149231872,0.0171300403772772
"ENSG00000118156",34.5729914787207,2.11925083786586,1.08594896996243,1.95151972743174,0.0509952518232724,0.105012444495331
"ENSG00000254337",30.9178661867182,6.2247390040266,2.21798465675951,2.80648424913857,NA,NA
"ENSG00000130427",40.0473453993344,2.70308770225608,1.17443579264387,2.30160534887219,0.0213574382262956,0.0560129040274545
"ENSG00000251372",54.4957891506655,2.41040821029785,1.27437537995759,1.89144285758099,NA,NA
"ENSG00000211670",17.2208051537302,3.90965202561353,2.14717627652537,1.82083421298798,NA,NA
"ENSG00000196616",68.5808937605355,2.32836652453002,1.42437773899872,1.63465523279433,NA,NA
"ENSG00000275874",54.4221747867097,3.48844279605336,1.95834064408366,1.78132584164675,NA,NA
"ENSG00000243290",33.6129711237272,2.27989758195908,1.73414109343943,1.31471285155766,0.188606425758079,0.250194179612664
"ENSG00000242766",20.5312548859416,6.07249710017326,2.26226306445414,2.68425772209586,0.0072691047428062,0.0288064572305413
"ENSG00000198573",26.5724959673571,21.1174258444437,2.48464403206804,8.49917556474563,NA,NA
"ENSG00000269404",37.0977565584012,2.20971599531184,1.26082891399805,1.75258988018041,0.0796724295920037,0.146681691566735
"ENSG00000117215",65.6822043787234,3.48781692723791,1.50159710397342,2.32273818190558,NA,NA
"ENSG00000140798",28.7813360088771,2.95757524141347,1.2365297755423,2.39183503698192,NA,NA
"ENSG00000162598",75.5012876480374,2.36294495268442,0.950659285253218,2.48558551874347,0.0129338507088914,0.0418094243845558
"ENSG00000256193",68.7367484008392,2.35014544412652,1.2483183400394,1.88264913583849,0.0597479327913221,0.116971305042166
"ENSG00000225684",93.726341121796,2.44939096385034,1.16848487073702,2.09621110652925,0.0360634681398694,0.0835470345240308
"ENSG00000272763",45.0833975028301,5.39870060989414,1.7434817683902,3.09650534222614,NA,NA
"ENSG00000222032",42.2051246987046,6.21704397820998,1.99324474715616,3.11905699843437,NA,NA
"ENSG00000228314",38.1645443028353,2.03759538428061,1.55710806261756,1.30857673478059,NA,NA
"ENSG00000173077",96.3031896887221,2.42806774995542,1.19091237766697,2.03882988831812,NA,NA
"ENSG00000160183",105.665954118114,2.39066618335325,1.07928703471012,2.21504206616856,0.0267571773038785,0.0658273919511347
"ENSG00000211625",36.8412783822763,2.29031181552329,1.83910103211013,1.24534311902128,NA,NA
"ENSG00000118271",25.8361972207614,3.84776827072151,1.69694167465416,2.26747231692904,NA,NA
"ENSG00000223485",83.4933665862366,3.83739288738591,1.46779459439685,2.61439366382377,NA,NA
"ENSG00000213058",76.1151558248313,2.28457798655293,1.17021849710465,1.95226617268948,0.0509066114042041,0.105012444495331
"ENSG00000178776",67.9399508616601,5.10407077329812,1.61284847848994,3.16463129758903,NA,NA
"ENSG00000287560",111.419669693646,2.09815645643349,1.04855490281358,2.00099818407555,0.0453925855867905,0.100151895183554
"ENSG00000211942",52.6497225042343,5.56984353778321,2.01028651979087,2.77067148535753,NA,NA
"ENSG00000006453",151.284586939885,2.55405546402724,1.33151649028068,1.91815533842082,NA,NA
"ENSG00000046774",71.3254534027314,3.60464619290322,1.82862701656918,1.97123096194114,0.048697463947536,0.104137653672423
"ENSG00000228742",78.3879593254223,5.03434646206379,1.78118719838104,2.82639941867964,NA,NA
"ENSG00000172724",161.240004795696,2.36438208364637,1.56664767133027,1.50919835194261,NA,NA
"ENSG00000110680",38.4515302873765,3.25271949997775,1.58420663637844,2.05321668605908,NA,NA
"ENSG00000233532",148.122494465889,2.94210122580457,1.47089018828911,2.00021813268517,NA,NA
"ENSG00000164794",158.78742572547,2.65663807998711,1.18810310969266,2.23603326875758,0.0253495919923013,0.0640653324896342
"ENSG00000144820",118.260500526838,2.69511539971265,1.58448903100199,1.70093660920349,NA,NA
"ENSG00000233968",114.32992640519,3.9912000460495,1.52724525788281,2.61333274760494,NA,NA
"ENSG00000137745",137.619468742829,3.65380264596457,1.70586941653822,2.1419005526105,0.0322014853954346,0.0765129311105198
"ENSG00000196666",60.3334581617804,2.41206771742859,1.35446507512706,1.78082680884357,NA,NA
"ENSG00000027644",142.822302475866,2.86698908409331,1.25008639060785,2.29343276243431,NA,NA
"ENSG00000128045",101.188560797474,3.29179867462061,1.51066402906031,2.17904087957151,NA,NA
"ENSG00000214897",28.5384370291054,6.57585119536589,2.23836709506521,2.93778943135077,NA,NA
"ENSG00000239819",31.9573687567729,5.65625961060039,2.18683571819883,2.58650412718662,NA,NA
"ENSG00000154478",178.086015722183,2.84095310404207,1.26594348666589,2.24413896352063,0.0248234616959017,0.0633112142335841
"ENSG00000268433",49.0634053094927,3.42933317947078,1.54740895504514,2.21617767448601,NA,NA
"ENSG00000282639",48.4398136934826,3.81005835228273,2.09569955991875,1.81803652830391,NA,NA
"ENSG00000211659",63.821921459529,3.17078672141189,1.51717350102351,2.08993020196623,0.0366240700862485,0.0836086609108528
"ENSG00000105509",204.457578991056,3.09464381752848,1.40445145981764,2.20345373697024,NA,NA
"ENSG00000168333",154.118421639755,2.86137413340206,1.69578753188254,1.68734235840593,0.0915375405283968,0.157082939919101
"ENSG00000230838",182.569890449384,3.64462595042315,1.52169077204094,2.39511602316865,NA,NA
"ENSG00000102970",200.266316508201,3.68898178441581,1.71645916672008,2.14918120741837,NA,NA
"ENSG00000165072",306.182485080058,2.53862212944207,1.2228792991465,2.07593842762232,0.0378996460468754,0.0849829734260033
"ENSG00000231317",71.2124764452338,8.88316644052052,2.11577863522805,4.19853300936798,NA,NA
"ENSG00000180613",145.328916683592,3.57859203777539,1.21263523283834,2.9510869722952,0.00316657738578991,0.0172609512401881
"ENSG00000189320",122.834124359721,3.57275673621445,1.13849883330526,3.13812946636241,0.00170029757874596,0.0171300403772772
"ENSG00000204542",204.392874289499,3.20576866199973,1.77367083162457,1.80742029740854,NA,NA
"ENSG00000224184",275.860452968474,3.39305089494233,1.30751762081741,2.59503263353433,0.00945819382827246,0.0344606238308871
"ENSG00000211669",58.987738698078,5.38397227538962,1.64504976695261,3.27283245987336,NA,NA
"ENSG00000211650",88.1818231507798,3.05447286068471,2.04103476597888,1.49653151999094,NA,NA
"ENSG00000227234",106.992783220088,9.59368543222481,2.56930393923195,3.73396283940338,NA,NA
"ENSG00000131203",242.35126489504,4.12999407624867,1.61229170458025,2.56156752808195,NA,NA
"ENSG00000235207",146.90712118144,5.08637360151591,1.52656705014753,3.33190317518275,NA,NA
"ENSG00000100362",223.829591245633,2.9803910457992,1.28728640803282,2.31525092411542,0.0205992038123516,0.054538844379369
"ENSG00000211663",128.034844514378,2.16513770818241,1.56427615357715,1.38411475699557,NA,NA
"ENSG00000170689",267.267998912732,3.6144988170825,1.44849372657262,2.49534999756955,NA,NA
"ENSG00000155495",125.798890190753,5.42014147003376,1.81951507740822,2.97889340810212,NA,NA
"ENSG00000115648",297.549216173751,3.33000311732716,1.2927313689752,2.57594361616442,NA,NA
"ENSG00000168081",373.426549161399,2.38750652932422,1.24122439331428,1.92350919155656,0.0544161332751226,0.109620906162928
"ENSG00000211638",111.863353510965,2.84961886874003,1.68420342097968,1.69196834137912,NA,NA
"ENSG00000188993",297.730216299276,2.51391685569167,1.30244898849716,1.93014611542858,NA,NA
"ENSG00000211892",139.020491952869,2.64044695875932,1.26386794170953,2.08917947170003,0.0366915706155541,0.0836086609108528
"ENSG00000123500",218.41073439281,5.01713468665441,1.4498092267453,3.46054818392723,NA,NA
"ENSG00000247345",72.8037414271857,5.3980760389611,1.88181021198101,2.86855497148061,NA,NA
"ENSG00000211662",159.825574400372,2.58625848790979,1.55067438608257,1.66782821146829,0.0953498338350111,0.157477115784581
"ENSG00000211639",61.381497685479,8.78320815945746,2.30741531648512,3.80651376312995,NA,NA
"ENSG00000211642",119.40317979738,3.40860720128551,1.77700474447013,1.91817563340378,NA,NA
"ENSG00000211666",233.169423022894,2.05941356838111,1.41247350091036,1.45801925986844,0.144835234373283,0.208622772827838
